ID,University,Logo,Rank,Type,Location,Student,Year,Contact,Email,Website,Strength,Description,Exchange,agricultural_food_science,arts_design,economics_business_management,engineering,law_political_science,medicine_pharmacy_health_sciences,physical_science,social_sciences_humanities,sports_physical_education,technology
1,Aichi Prefectural University,https://cdn.adscientificindex.com/logos/159.png,87,Public,Aichi,4000,1950,81561641111,koho@bur.aichi-pu.ac.jp,https://www.aichi-pu.ac.jp/,"nursing, foreign languages",Aichi Prefectural University was founded in 1950 and they are popular for nursing and foreign languages.,True,True,True,True,True,True,True,True,True,True,True
2,Akita International University,https://cdn.adscientificindex.com/logos/211.jpg,10,Public,Akita,1000,2004,81188865900,info@aiu.ac.jp,https://www.aiu.ac.jp/,"international relations, liberal arts",Akita International University was founded in 2004 and they are popular for international relations and liberal arts.,True,False,False,True,False,True,False,False,True,False,True
3,Aoyama Gakuin University,https://cdn.adscientificindex.com/logos/513.jpg,49,Private,Tokyo,32000,1874,81334098111,kouhou@aoyama.ac.jp,https://www.aoyama.ac.jp/,"business, international relations",Aoyama Gakuin University was founded in 1874 and they are popular for business and international relations.,True,True,True,True,True,True,True,True,True,True,True
4,Chiba University,https://cdn.adscientificindex.com/logos/1504.jpg,16,Public,Chiba,14000,1949,81432902192,pso@chiba-u.jp,https://www.chiba-u.ac.jp/,"medicine, engineering, horticulture","Chiba University was founded in 1949 and they are popular for medicine, engineering and horticulture.",True,True,True,True,True,True,True,True,True,True,True
5,Chuo University,https://cdn.adscientificindex.com/logos/1597.jpg,62,Private,Tokyo,7000,1885,81338171711,koho@tamajs.chuo-u.ac.jp,https://www.chuo-u.ac.jp/,"law, economics",Chuo University was founded in 1885 and they are popular for law and economics.,True,True,True,True,True,True,True,True,True,True,True
6,Doshisha University,https://cdn.adscientificindex.com/logos/2029.jpg,42,Private,Kyoto,20000,1920,81752513120,ji-koho@mail.doshisha.ac.jp,https://www.doshisha.ac.jp/,"law, business, theology","Doshisha University was founded in 1920 and they are popular for law, business and theology.",True,True,True,True,True,True,True,True,True,True,True
7,Ehime University,https://cdn.adscientificindex.com/logos/2282.jpg,85,Public,Ehime,10000,1949,81899279000,kouhou@stu.ehime-u.ac.jp,https://www.ehime-u.ac.jp/,"medicine, agriculture",Ehime University was founded in 1949 and they are popular for medicine and agriculture.,True,True,True,True,True,True,True,True,True,True,True
8,Fukuoka Women's University,https://cdn.adscientificindex.com/logos/2725.png,48,Public,Fukuoka,2000,1923,81926612411,koho@fwu.ac.jp,http://www.fwu.ac.jp/,humanities,Fukuoka Women's University was founded in 1923 and they are popular for humanities.,True,True,False,True,False,False,False,True,True,False,False
9,Gakushuin University,https://cdn.adscientificindex.com/logos/2785.jpg,70,Private,Tokyo,10000,1877,81339860221,kouhou@gakushuin.ac.jp,https://www.univ.gakushuin.ac.jp/,"humanities, political science",Gakushuin University was founded in 1877 and they are popular for humanities and political science.,True,True,True,True,True,True,True,True,True,True,True
10,Gifu University,https://cdn.adscientificindex.com/logos/2875.jpg,72,Public,Gifu,8000,1949,81582301111,kikaku@gifu-u.ac.jp,https://www.gifu-u.ac.jp/,"medicine, agriculture",Gifu University was founded in 1949 and they are popular for medicine and agriculture.,True,True,True,True,True,True,True,True,True,True,True
11,Gunma University,https://cdn.adscientificindex.com/logos/3091.jpg,55,Public,Gunma,7000,1949,81272207111,koho@jimu.gunma-u.ac.jp,https://www.gunma-u.ac.jp/,"medicine, engineering",Gunma University was founded in 1949 and they are popular for medicine and engineering.,True,True,True,True,True,True,True,True,True,True,True
12,Hamamatsu University School of Medicine,https://cdn.adscientificindex.com/logos/3143.png,91,Public,Shizuoka,9000,1974,81534352111,somu@hama-med.ac.jp,https://www.hama-med.ac.jp/,"medicine, medical technology",Hamamatsu University School of Medicine was founded in 1974 and they are popular for medicine and medical technology.,True,False,False,False,False,False,True,False,False,False,False
13,Hirosaki University,https://cdn.adscientificindex.com/logos/3343.jpg,95,Public,Aomori,7000,1949,81172362111,koho@hirosaki-u.ac.jp,https://www.hirosaki-u.ac.jp/,"medicine, agriculture",Hirosaki University was founded in 1949 and they are popular for medicine and agriculture.,True,True,True,True,True,True,True,True,True,True,True
14,Hiroshima University,https://cdn.adscientificindex.com/logos/3350.jpg,13,Public,Hiroshima,16000,1929,81824246170,kokusai-ryugaku@office.hiroshima-u.ac.jp,https://www.hiroshima-u.ac.jp/,"engineering, education, medicine","Hiroshima University was founded in 1929 and they are popular for engineering, education and medicine.",True,True,True,True,True,True,True,True,True,True,True
15,Hitotsubashi University,https://cdn.adscientificindex.com/logos/3354.jpg,17,Public,Tokyo,5000,1875,81425808000,koho@r.hit-u.ac.jp,https://www.hit-u.ac.jp/,"economics, business, sociology","Hitotsubashi University was founded in 1875 and they are popular for economics, business and sociology.",True,True,True,True,True,True,True,True,True,True,True
16,Hokkaido University,https://cdn.adscientificindex.com/logos/3469.jpg,8,Public,Hokkaido,18000,1918,81117162111,jimu-soumu@general.hokudai.ac.jp,https://www.hokudai.ac.jp/,"agriculture, environmental science, medicine","Hokkaido University was founded in 1918 and they are popular for agriculture, environmental science and medicine.",True,True,True,True,True,True,True,True,True,True,True
17,Hosei University,https://cdn.adscientificindex.com/logos/3500.jpg,53,Private,Tokyo,31000,1880,81332649240,koho@hosei.ac.jp,https://www.hosei.ac.jp/,"law, engineering",Hosei University was founded in 1880 and they are popular for law and engineering.,True,True,True,True,True,True,True,True,True,True,True
18,Ibaraki University,https://cdn.adscientificindex.com/logos/3585.png,93,Public,Ibaraki,8000,1949,81292288064,koho@mx.ibaraki.ac.jp,https://www.ibaraki.ac.jp/,"engineering, agriculture",Ibaraki University was founded in 1949 and they are popular for engineering and agriculture.,True,True,True,True,True,True,True,True,True,True,True
19,Institute of Science Tokyo,https://cdn.adscientificindex.com/logos/8943.png,2,Public,Tokyo,11000,1881,81357342975,info@jim.titech.ac.jp,https://www.titech.ac.jp/,"physics, chemistry, engineering","Institute of Science Tokyo was founded in 1881 and they are popular for physics, chemistry and engineering.",True,False,True,False,True,False,True,True,True,False,True
20,International Christian University,https://cdn.adscientificindex.com/logos/4189.jpg,11,Private,Tokyo,10000,1949,81422333131,info@icu.ac.jp,https://www.icu.ac.jp/,"liberal arts, psychology, international relations","International Christian University was founded in 1949 and they are popular for liberal arts, psychology and international relations.",True,True,True,True,True,True,True,True,True,True,True
21,Iwate University,https://cdn.adscientificindex.com/logos/4469.jpg,89,Public,Iwate,7000,1949,81196216066,kouhou@iwate-u.ac.jp,https://www.iwate-u.ac.jp/,"agriculture, engineering",Iwate University was founded in 1949 and they are popular for agriculture and engineering.,True,True,True,True,True,True,True,True,True,True,True
22,Juntendo University,https://cdn.adscientificindex.com/logos/4662.png,59,Private,Tokyo,6000,1836,81358021021,kyomu@juntendo.ac.jp,https://www.juntendo.ac.jp/,"medicine, sports science",Juntendo University was founded in 1836 and they are popular for medicine and sports science.,True,True,True,True,True,True,True,True,True,True,True
