ID,University,Logo,Rank,Type,Location,Student,Year,Contact,Email,Website,Strength,Description,Exchange,agricultural_food_science,arts_design,economics_business_management,engineering,law_political_science,medicine_pharmacy_health_sciences,physical_science,social_sciences_humanities,sports_physical_education,technology
1,Ajou University,https://cdn.adscientificindex.com/logos/182.jpg,14,Private,Suwon,14000,1973,82312193602,engdoc@ajou.ac.kr,https://www.ajou.ac.kr/en/index.do,"IT, robotics, medical engineering (Suwon-based; partnerships with tech firms).","Ajou University was founded in 1973, and it's strengths are IT, robotics, medical engineering (Suwon-based; partnerships with tech firms).",True,False,True,True,True,True,True,True,True,True,True
2,Andong National University,https://cdn.adscientificindex.com/logos/460.jpg,94,Public,Andong,11000,1947,82548205412,e-mail.econ@andong.ac.kr,https://www.andong.ac.kr/,"Confucian studies, Korean folklore, regional history (Andong-focused).","Andong National University was founded in 1947, and it's strengths are Confucian studies, Korean folklore, regional history (Andong-focused).",True,True,True,True,True,True,True,True,True,True,True
3,Busan University of Foreign Studies,https://cdn.adscientificindex.com/logos/15045.jpg,NA,Public,Busan,9000,1981,82515095320,skwon@bufs.ac.kr,https://www.bufs.ac.kr/,"Foreign languages, international trade (Busan-focused language programs).","Busan University of Foreign Studies was founded in 1981, and it's strengths are Foreign languages, international trade (Busan-focused language programs).",True,False,True,True,True,True,True,True,True,True,True
4,Catholic Kwandong University,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTOQZtGy4P1zj2rwQ7CNsppvSQnRWhpo2gAA&s,42,Private,Gangneung,12000,1954,82336497114,irc@cku.ac.kr,https://www.cku.ac.kr/sites/cku_eng/index.do,"Medicine, nursing, theology, and social sciences.","Catholic Kwandong University was founded in 1954, and it's strengths are Medicine, nursing, theology, and social sciences.",True,True,True,True,True,True,True,True,True,True,True
5,Catholic University of Daegu,https://cdn.adscientificindex.com/logos/1248.png,42,Private,Gyeongsan,12000,1914,82538503114,webmaster@ac.udn.vn,https://www.cu.ac.kr/,"Medicine, nursing, theology (Daegu-based; Catholic affiliation).","Catholic University of Daegu was founded in 1914, and it's strengths are Medicine, nursing, theology (Daegu-based; Catholic affiliation).",True,True,True,True,True,True,True,True,True,True,True
6,Cha University,https://cdn.adscientificindex.com/logos/1418.png,61,Private,Pocheon,4000,1996,82318509031,cozie@cha.ac.kr,https://www.cha.ac.kr/,"Medical sciences, biotechnology (affiliated with CHA Medical Group).","Cha University was founded in 1996, and it's strengths are Medical sciences, biotechnology (affiliated with CHA Medical Group).",True,True,True,True,True,True,True,True,True,True,True
7,Changwon National University,https://cdn.adscientificindex.com/logos/1448.jpg,NA,Public,Changwon,9000,1969,82552132114,cinter@chagnwon.ac.kradmission,https://www.changwon.ac.kr/,"Mechanical engineering, robotics (industrial hub of Changwon).","Changwon National University was founded in 1969, and it's strengths are Mechanical engineering, robotics (industrial hub of Changwon).",True,True,True,True,True,True,True,True,True,True,True
8,Cheongju University,https://cdn.adscientificindex.com/logos/1485.jpg,97,Private,Cheongju,12000,1947,8220001955,sujung@cju.ac.kr,https://www.cju.ac.kr/,"Education, engineering, regional studies (Cheongju-based).","Cheongju University was founded in 1947, and it's strengths are Education, engineering, regional studies (Cheongju-based).",True,True,True,True,True,True,True,True,True,True,True
9,Chonnam National University,https://www.adscientificindex.com/banners/ad-main.jpg,23,Public,Gwangju,31000,1952,82625301435,km2310@jnu.ac.kr,https://www.jnu.ac.kr/,"Agriculture, environmental science, political science (leading university in Gwangju).","Chonnam National University was founded in 1952, and it's strengths are Agriculture, environmental science, political science (leading university in Gwangju).",True,True,True,True,True,True,True,True,True,True,True
10,Chosun University,https://cdn.adscientificindex.com/logos/1561.jpg,31,Private,Gwangju,33000,1946,82622307114,admission@chosun.ac.kr,https://www.chosun.ac.kr/,"Materials engineering, dentistry, regional policy (Gwangju-based).","Chosun University was founded in 1946, and it's strengths are Materials engineering, dentistry, regional policy (Gwangju-based).",True,False,True,True,True,True,True,True,True,True,True
11,Chung-Ang University,https://www.zila.com.vn/wp-content/uploads/2018/11/logo-dai-hoc-chung-ang-han-quoc.jpg,12,Private,Seoul,30000,1918,8228206575,inbound@cau.ac.kr,https://neweng.cau.ac.kr/,"Film/theater, pharmacy, media arts (strong ties to Korean entertainment industry).","Chung-Ang University was founded in 1918, and it's strengths are Film/theater, pharmacy, media arts (strong ties to Korean entertainment industry).",True,True,True,True,True,True,True,True,True,True,True
12,Chungbuk National University,https://cdn.adscientificindex.com/logos/1593.jpg,28,Public,Cheongju,24000,1951,82432613291,choya1998@chungbuk.ac.kr,https://www.chungbuk.ac.kr/,"Biotechnology, engineering, regional studies (Cheongju-based).","Chungbuk National University was founded in 1951, and it's strengths are Biotechnology, engineering, regional studies (Cheongju-based).",True,True,True,True,True,True,True,True,True,True,True
13,Chungnam National University,https://cdn.adscientificindex.com/logos/1595.jpg,28,Public,Daejeon,28000,1952,82428215013,cnuint@cnu.ac.kr,https://www.cnu.ac.kr/,"Agriculture, engineering, regional development (Daejeon-based).","Chungnam National University was founded in 1952, and it's strengths are Agriculture, engineering, regional development (Daejeon-based).",True,True,True,True,True,True,True,True,True,True,True
14,Daegu Gyeongbuk Institute of Science and Technology (DGIST),https://upload.wikimedia.org/wikipedia/en/a/a8/DGIST_Emblem_2.png,11,Public,Daegu,3000,2004,NA,admissions@kaust.edu.sa,https://www.dgist.ac.kr/eng/index.do,"STEM fields (science, technology, engineering, mathematics), robotics, AI, and advanced materials.","Daegu Gyeongbuk Institute of Science and Technology (DGIST) was founded in 2004, and it's strengths are STEM fields (science, technology, engineering, mathematics), robotics, AI, and advanced materials.",True,True,True,True,True,True,True,True,True,True,True
15,Daegu Han University University,https://thanhdo.edu.vn/wp-content/uploads/2022/08/165.jpg,89,Private,Daegu,4000,1978,NA,webmaster@dhu.ac.kr,https://www.dhu.ac.kr/foreign/,"Korean medicine, alternative medicine, and health sciences.","Daegu Han University University was founded in 1978, and it's strengths are Korean medicine, alternative medicine, and health sciences.",True,False,True,True,True,True,True,True,True,True,True
16,Daegu University,https://cdn.adscientificindex.com/logos/1829.jpg,NA,Private,Gyeongsan,20000,1956,82538505000,oia@daegu.ac.kr,https://www.daegu.ac.kr/,"Industrial engineering, sports science (Daegu-focused).","Daegu University was founded in 1956, and it's strengths are Industrial engineering, sports science (Daegu-focused).",True,True,True,True,True,True,True,True,True,True,True
17,Daejeon University,https://cdn.adscientificindex.com/logos/1830.jpg,92,Private,Daejeon,12000,1981,820422802114,djuiro@dju.kr,https://www.dju.ac.kr/,"Business, engineering (Daejeon-based).","Daejeon University was founded in 1981, and it's strengths are Business, engineering (Daejeon-based).",True,True,True,True,True,True,True,True,True,True,True
18,Dankook University,https://cdn.adscientificindex.com/logos/1858.jpg,42,Private,Yongin,35000,1947,823180052101,hanscho@dankook.ac.kr,https://www.dankook.ac.kr/,"Performing arts, dentistry, law (pioneering Korean private university).","Dankook University was founded in 1947, and it's strengths are Performing arts, dentistry, law (pioneering Korean private university).",True,False,True,True,True,True,True,True,True,True,True
19,Dong-A University,https://cdn.adscientificindex.com/logos/2017.jpg,51,Private,Busan,24484,1946,2363519991,vanthu@donga.edu.vn,https://www.donga.ac.kr/,"Medicine, law, maritime studies (Busan-based; strong regional influence).","Dong-A University was founded in 1946, and it's strengths are Medicine, law, maritime studies (Busan-based; strong regional influence).",True,True,True,True,True,True,True,True,True,True,True
20,Dong-Eui University,https://blog.kakaocdn.net/dn/lAxQO/btqyzv1jw7o/FZ092cpXUxboUIqHNPnxV1/img.jpg,88,Private,Busan,23000,1979,82518901114,pr@deu.ac.kr,https://www.deu.ac.kr/,"Medicine, pharmacy, engineering (Busan-based).","Dong-Eui University was founded in 1979, and it's strengths are Medicine, pharmacy, engineering (Busan-based).",True,True,True,True,True,True,True,True,True,True,True
