ID,University,Logo,Rank,Type,Location,Student,Year,Contact,Email,Website,Strength,Description,agricultural_food_science,arts_design,economics_business_management,engineering,law_political_science,medicine_pharmacy_health_sciences,physical_science,social_sciences_humanities,sports_physical_education,technology
1,American University,https://www.topuniversities.com/sites/default/files/american-university_17_small.jpg,99,Private,Washington D.C.,12000,1893,12028851000,admissions@american.edu,american.edu,"international relations, political science, business, communications","American University was founded in 1893 and they are popular for international relations, political science, business and communications.",False,True,True,True,True,True,True,True,False,True
2,Arizona State University,https://www.topuniversities.com/sites/default/files/arizona-state-university_592560cf2aeae70239af4a9c_small.jpg,38,Public,Tempe,55000,1885,14809659011,admission@asu.edu,asu.edu,"business, engineering, journalism, psychology","Arizona State University was founded in 1885 and they are popular for business, engineering, journalism and psychology.",False,True,True,True,True,True,True,True,False,True
3,Boston College,https://www.topuniversities.com/sites/default/files/boston-college_723_small.jpg,88,Private,Chestnut Hill,14000,1863,16175528000,admission@bc.edu,bc.edu,"business, economics, nursing, theology","Boston College was founded in 1863 and they are popular for business, economics, nursing and theology.",False,True,True,True,True,True,True,True,False,True
4,Boston University,https://www.topuniversities.com/sites/default/files/boston-university_592560cf2aeae70239af4ac2_small.jpg,26,Private,Boston,28000,1839,16173532000,admissions@bu.edu,bu.edu,"business, communications, health sciences, international relations","Boston University was founded in 1839 and they are popular for business, communications, health sciences and international relations.",False,True,True,True,True,True,True,True,False,True
5,Brandeis University,https://www.topuniversities.com/sites/default/files/brandeis-university_66_small.jpg,100,Private,Waltham,6000,1948,17817362000,admissions@brandeis.edu,brandeis.edu,"economics, biology, international studies, business","Brandeis University was founded in 1948 and they are popular for economics, biology, international studies and business.",False,True,True,True,True,True,True,True,False,True
6,Brown University,https://www.topuniversities.com/sites/default/files/brown-university_72_small.jpg,23,Private,Providence,11000,1764,14018631000,admission@brown.edu,brown.edu,"computer science, economics, biology, international relations","Brown University was founded in 1764 and they are popular for computer science, economics, biology and international relations.",False,True,True,True,True,True,True,True,False,True
7,California Institute of Technology,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg,4,Private,Pasadena,3000,1891,16263956811,ugadmissions@caltech.edu,caltech.edu,"physics, engineering, computer science, mathematics","California Institute of Technology was founded in 1891 and they are popular for physics, engineering, computer science and mathematics.",False,False,True,True,True,False,False,True,False,True
8,Carnegie Mellon University,https://www.topuniversities.com/sites/default/files/carnegie-mellon-university_101_small.jpg,17,Private,Pittsburgh,16000,1900,14122682000,undergraduate-admissions@andrew.cmu.edu,cmu.edu,"computer science, engineering, drama, business","Carnegie Mellon University was founded in 1900 and they are popular for computer science, engineering, drama and business.",False,True,True,True,True,True,True,True,False,True
9,Case Western Reserve University,https://www.topuniversities.com/sites/default/files/case-western-reserve-university_102_small.jpg,46,Private,Cleveland,12000,1826,12163682000,admission@case.edu,case.edu,"engineering, medicine, business, computer science","Case Western Reserve University was founded in 1826 and they are popular for engineering, medicine, business and computer science.",False,True,True,True,True,True,True,True,False,True
10,City University of New York,https://www.topuniversities.com/sites/default/files/city-university-of-new-york_149_small.jpg,94,Public,New York City,124000,1961,12129972869,admissions@cuny.edu,cuny.edu,"business, nursing, journalism, engineering","City University of New York was founded in 1961 and they are popular for business, nursing, journalism and engineering.",True,True,True,True,True,True,True,True,False,True
11,Colorado School of Mines,https://www.topuniversities.com/sites/default/files/colorado-school-of-mines_592560de9988f300e2320883_small.jpg,74,Public,Golden,8000,1874,13032733000,admit@mines.edu,mines.edu,"petroleum engineering, mining, geology, mechanical engineering","Colorado School of Mines was founded in 1874 and they are popular for petroleum engineering, mining, geology and mechanical engineering.",False,True,True,True,True,True,True,True,False,True
