ID,University,Logo,Rank,Type,Location,Student,Year,Contact,Email,Website,Strength,Description,agricultural_food_science,arts_design,economics_business_management,engineering,law_political_science,medicine_pharmacy_health_sciences,physical_science,social_sciences_humanities,sports_physical_education,technology
1,Acharya Nagarjuna University,https://upload.wikimedia.org/wikipedia/en/2/2a/Acharya_Nagarjuna_University_crest.png,59,Public,Andhra Pradesh,6000,1976,918632346115,registrar@anu.ac.in,nagarjunauniversity.ac.in,"IT, Biotechnology, Economics, Political Science","A public university in Guntur, Andhra Pradesh, offering a variety of undergraduate and postgraduate programs.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
2,Alagappa University,https://upload.wikimedia.org/wikipedia/en/7/73/Alagappa_University_Logo.png,47,Public,Tamil Nadu,6000,1985,914652260000,registrar@alagappauniversity.ac.in,alagappauniversity.ac.in,"IT, Biotechnology, Economics, Political Science","Located in Karaikudi, Tamil Nadu, it offers a range of programs and has a strong research orientation.",Y,Y,Y,Y,Y,N,Y,Y,Y,Y
3,Aligarh Muslim University,https://upload.wikimedia.org/wikipedia/en/3/3c/Aligarh_Muslim_University_logo.png,8,Public,Uttar Pradesh,39000,1920,915712720961,amucontroller@amu.ac.in,amu.ac.in,"Islamic Studies, Engineering, Medicine, Social Sciences","A public university in Aligarh, offering a wide range of programs with a focus on inclusive education.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
4,Amity University,https://upload.wikimedia.org/wikipedia/en/f/ff/Amity_University_logo.png,32,Private,Uttar Pradesh,37000,2005,911202445252,admissions@amity.edu,amity.edu,"IT, Robotics, Health Tech, Business Analytics",A private university offering a wide range of undergraduate and postgraduate programs across various disciplines.,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
5,Amrita Vishwa Vidyapeetham,https://upload.wikimedia.org/wikipedia/commons/a/a3/Amrita-vishwa-vidyapeetham-logo.svg,7,Private,Tamil Nadu,26000,1994,914222685000,info@amrita.edu,amrita.edu,"IT, Robotics, Health Tech, Sustainable Energy","A multi-campus private university in India, known for its emphasis on research and holistic education.",N,Y,Y,Y,Y,Y,Y,Y,N,Y
6,Andhra University,https://andhrauni-ac.in/img/au-big-logo.png,25,Public,Andhra Pradesh,15000,1926,918912844141,support@andhrauniversity.edu.in,andhrauniversity.edu.in,"Marine Science, Engineering, Law, Social Sciences","Located in Visakhapatnam, it offers a wide range of undergraduate and postgraduate programs.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
7,Anna University,https://upload.wikimedia.org/wikipedia/en/4/49/Anna_University_Logo.svg,13,Public,Tamil Nadu,18000,1978,914422358314,dircfa@annauniv.edu,annauniv.edu,"Aerospace Engineering, Robotics, IT, Renewable Energy","A premier technical university in Chennai, offering undergraduate and postgraduate programs in engineering and technology.",Y,Y,Y,Y,N,N,Y,N,N,Y
8,Avinashilingam Institute for Home Science and Higher Education for Women,https://media.licdn.com/dms/image/v2/C4E0BAQHyY-6m8BQgzw/company-logo_200_200/company-logo_200_200/0/1630611716894/avinashilingam_institute_for_home_science_and_high_logo?e=2147483647&v=beta&t=AocPHpcWsN3DxyT5uYqvGtpF9IyrtVJSyL8mUaOpklA,98,Private,Tamil Nadu,8000,1957,914222440570,info@avinuty.ac.in,avinuty.ac.in,"Home Science, IT, Nursing, Education 9","A women's deemed university in Coimbatore, Tamil Nadu, focusing on home science and related fields.",Y,Y,Y,Y,N,N,Y,Y,Y,Y
9,Babasaheb Bhimrao Ambedkar University,https://www.hfoa.in/bbau-logo?lightbox=dataItem-jty01r0z2,33,Public,Uttar Pradesh,5000,1996,915222421856,registrar@bbau.ac.in,bbau.ac.in,"Social Sciences, Law, Political Science, Economics","A central university in Lucknow, named after Dr. B. R. Ambedkar, focusing on inclusive education and research.",Y,Y,Y,Y,Y,N,Y,Y,N,Y
10,Banaras Hindu University,https://www.bhu.ac.in/Images/images/BHU%20Seal%20JPEG.jpg,5,Public,Uttar Pradesh,33000,1916,915422368558,registrar@bhu.ac.in,bhu.ac.in,"Sanskrit Studies, Ayurveda, Engineering, Social Sciences","A large public university in Varanasi, offering a wide range of programs with a rich cultural heritage.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
11,Banasthali Vidyapith,https://upload.wikimedia.org/wikipedia/en/e/e9/Banasthali_Vidyapeeth_Logo.png,67,Private,Rajasthan,15000,1935,911436230201,info@banasthali.org,banasthali.org,"IT, Women’s Education, Biotechnology, Law","A fully residential women's university in Rajasthan, offering integrated education from primary to Ph.D. levels.",Y,Y,Y,Y,Y,N,Y,Y,Y,Y
12,Bangalore University,https://upload.wikimedia.org/wikipedia/en/3/34/Bangalore_University_logo.png,81,Public,Karnataka,9000,1964,918022961000,registrar@bangaloreuniversity.ac.in,bangaloreuniversity.karnataka.gov.in,"IT, Economics, Political Science, Law","A public state university in Bengaluru, Karnataka, offering diverse programs across six faculties.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
13,Bharath Institute of Higher Education and Research (BIHER),https://upload.wikimedia.org/wikipedia/en/c/cb/Bharath_University_Logo.png,73,Private,Tamil Nadu,10000,1984,914424766000,info@bharathuniv.ac.in,bharathuniv.ac.in,"IT, Medicine, Engineering, Law","A private deemed university in Chennai, offering programs in engineering, medicine, and science.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
14,Bharathiar University,https://b-u.ac.in/sites/b-u.ac.in/files/inline-images/bu_logo_icon.png,26,Public,Tamil Nadu,4000,1982,914222428115,cet@buc.edu.in,b-u.ac.in,"IT, Biotechnology, Economics, Political Science","Named after Tamil poet Subramania Bharati, it offers graduate and postgraduate programs.",Y,Y,Y,Y,Y,N,Y,Y,Y,Y
15,Bharathidasan University,https://www.bdu.ac.in/images/emp-gif.gif,36,Public,Tamil Nadu,3000,1982,914312407048,registrar@bdu.ac.in,bdu.ac.in,"IT, Biotechnology, Economics, Political Science","Situated in Tiruchirappalli, it offers a variety of programs with a focus on research and innovation.",Y,Y,Y,Y,Y,N,Y,Y,Y,Y
16,Bharati Vidyapeeth,https://cofa.bharatividyapeeth.edu/media/images/top_logo_280224.png,78,Private,Maharashtra,23000,1964,912024370801,info@bharatividyapeeth.edu,bvp.bharatividyapeeth.edu,"Medicine, Health Tech, IT, Law","A deemed university in Pune, with campuses across India, offering programs in various professional fields.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
